instance,repetition,position,solver,exit_code,status,cost,sets,preparation_wall_s,core_wall_s,total_after_read_wall_s,preparation_cpu_s,core_cpu_s,total_after_read_cpu_s,process_wall_s,process_user_s,process_system_s,max_rss_kb,nodes,best_bound,gap_percent,solution_valid,log_file
"scp41","1","1","cplex","0","Optimal","429","66","0.001506948","0.010782704","0.012289652","0.001506000","0.010784000","0.012290000","0.017683029","0.00","0.00","19700","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep01_pos1_cplex.log"
"scp41","1","2","dlx","0","Optimal","429","66","0.007188903","0.000039876","0.007228779","0.007190000","0.000039000","0.007229000","0.010837078","0.00","0.00","3844","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep01_pos2_dlx.log"
"scp41","2","1","dlx","0","Optimal","429","66","0.006618656","0.000047660","0.006666316","0.006618000","0.000047000","0.006665000","0.010844946","0.00","0.00","3736","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep02_pos1_dlx.log"
"scp41","2","2","cplex","0","Optimal","429","66","0.001534922","0.021911969","0.023446891","0.001534000","0.021914000","0.023448000","0.029121876","0.02","0.00","20064","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep02_pos2_cplex.log"
"scp41","3","1","cplex","0","Optimal","429","66","0.001449786","0.010226893","0.011676679","0.001450000","0.010228000","0.011678000","0.017513990","0.01","0.00","20468","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep03_pos1_cplex.log"
"scp41","3","2","dlx","0","Optimal","429","66","0.008751347","0.000055188","0.008806535","0.008750000","0.000055000","0.008805000","0.012789965","0.01","0.00","3916","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep03_pos2_dlx.log"
"scp41","4","1","dlx","0","Optimal","429","66","0.006731123","0.000038953","0.006770076","0.006729000","0.000038000","0.006767000","0.010606050","0.00","0.00","3988","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep04_pos1_dlx.log"
"scp41","4","2","cplex","0","Optimal","429","66","0.002699259","0.010630007","0.013329266","0.002697000","0.010631000","0.013328000","0.019388914","0.01","0.00","19956","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep04_pos2_cplex.log"
"scp41","5","1","cplex","0","Optimal","429","66","0.001342510","0.010599671","0.011942181","0.001342000","0.010602000","0.011944000","0.017203093","0.01","0.00","20252","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep05_pos1_cplex.log"
"scp41","5","2","dlx","0","Optimal","429","66","0.007201425","0.000039797","0.007241222","0.007200000","0.000040000","0.007240000","0.011059999","0.00","0.00","3988","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp41_rep05_pos2_dlx.log"
"scp42","1","1","dlx","0","Optimal","512","60","0.005652367","0.000137930","0.005790297","0.005653000","0.000139000","0.005792000","0.011317968","0.00","0.00","4112","61","512.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191919_2/logs/scp42_rep01_pos1_dlx.log"
