instance,repetition,position,solver,exit_code,status,cost,sets,preparation_wall_s,core_wall_s,total_after_read_wall_s,preparation_cpu_s,core_cpu_s,total_after_read_cpu_s,process_wall_s,process_user_s,process_system_s,max_rss_kb,nodes,best_bound,gap_percent,solution_valid,log_file
"scp41","1","1","dlx","0","Optimal","429","66","0.013356827","0.000037452","0.013394279","0.013352000","0.000037000","0.013389000","0.019855022","0.01","0.00","3888","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp41_rep01_pos1_dlx.log"
"scp42","1","1","dlx","0","Optimal","512","60","0.010589142","0.000051237","0.010640379","0.010589000","0.000051000","0.010640000","0.016151190","0.00","0.00","3676","61","512.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp42_rep01_pos1_dlx.log"
"scp43","1","1","dlx","0","Optimal","516","64","0.019374326","0.000068842","0.019443168","0.019375000","0.000068000","0.019443000","0.044596910","0.01","0.00","3792","65","516.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp43_rep01_pos1_dlx.log"
"scp44","1","1","dlx","0","Optimal","494","63","0.015645589","0.000180222","0.015825811","0.015644000","0.000180000","0.015824000","0.022624016","0.01","0.00","3924","304","493.9462","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp44_rep01_pos1_dlx.log"
"scp45","1","1","dlx","0","Optimal","512","60","0.006528738","0.000043645","0.006572383","0.006529000","0.000043000","0.006572000","0.012413025","0.00","0.00","3660","61","512.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp45_rep01_pos1_dlx.log"
"scp46","1","1","dlx","0","Optimal","560","64","0.012375280","0.043449007","0.055824287","0.011963000","0.043449000","0.055412000","0.062876940","0.05","0.00","4028","80008","557.1532","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp46_rep01_pos1_dlx.log"
"scp47","1","1","dlx","0","Optimal","430","58","0.011060267","0.000045675","0.011105942","0.011057000","0.000045000","0.011102000","0.022208214","0.01","0.00","4000","59","430.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp47_rep01_pos1_dlx.log"
"scp48","1","1","dlx","0","Optimal","492","59","0.008521935","0.017838734","0.026360669","0.008520000","0.017857000","0.026377000","0.033024073","0.03","0.00","3968","32903","488.3863","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp48_rep01_pos1_dlx.log"
"scp49","1","1","dlx","0","Optimal","641","61","0.010690675","0.095014971","0.105705646","0.010691000","0.095011000","0.105702000","0.111383915","0.10","0.00","3676","156430","638.2731","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp49_rep01_pos1_dlx.log"
"scp51","1","1","dlx","0","Optimal","253","62","0.024871319","1.340079525","1.364950844","0.024869000","1.339983000","1.364852000","1.377592087","1.35","0.01","4124","1148872","251.2054","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp51_rep01_pos1_dlx.log"
"scp52","1","1","dlx","0","Optimal","302","58","0.027540604","1.165196987","1.192737591","0.027489000","1.165080000","1.192569000","1.202373981","1.19","0.00","4108","1112511","299.6628","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp52_rep01_pos1_dlx.log"
"scp53","1","1","dlx","0","Optimal","226","55","0.014323140","0.000041310","0.014364450","0.014321000","0.000041000","0.014362000","0.019804001","0.01","0.00","4108","56","226.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp53_rep01_pos1_dlx.log"
"scp54","1","1","dlx","0","Optimal","242","66","0.019108205","0.017541114","0.036649319","0.019060000","0.017541000","0.036601000","0.042571068","0.03","0.00","4208","27450","240.5000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_213442_2/logs/scp54_rep01_pos1_dlx.log"
