instance,cost_agreement,cplex_status,dlx_status,cplex_cost,dlx_cost,cplex_sets,dlx_sets,cplex_runs,dlx_runs,cplex_prep_median_s,dlx_prep_median_s,cplex_core_median_s,dlx_core_median_s,cplex_total_after_read_median_s,dlx_total_after_read_median_s,dlx_speedup_total_x,cplex_process_median_s,dlx_process_median_s,dlx_speedup_process_x,cplex_max_rss_median_kb,dlx_max_rss_median_kb,cplex_nodes_median,dlx_nodes_median
scp41,NOT_COMPARED,,Optimal,,429,,66,0,1,,0.013356827,,0.000037452,,0.013394279,,,0.019855022,,,3888.0,,67.0
scp42,NOT_COMPARED,,Optimal,,512,,60,0,1,,0.010589142,,0.000051237,,0.010640379,,,0.016151190,,,3676.0,,61.0
scp43,NOT_COMPARED,,Optimal,,516,,64,0,1,,0.019374326,,0.000068842,,0.019443168,,,0.044596910,,,3792.0,,65.0
scp44,NOT_COMPARED,,Optimal,,494,,63,0,1,,0.015645589,,0.000180222,,0.015825811,,,0.022624016,,,3924.0,,304.0
scp45,NOT_COMPARED,,Optimal,,512,,60,0,1,,0.006528738,,0.000043645,,0.006572383,,,0.012413025,,,3660.0,,61.0
scp46,NOT_COMPARED,,Optimal,,560,,64,0,1,,0.012375280,,0.043449007,,0.055824287,,,0.062876940,,,4028.0,,80008.0
scp47,NOT_COMPARED,,Optimal,,430,,58,0,1,,0.011060267,,0.000045675,,0.011105942,,,0.022208214,,,4000.0,,59.0
scp48,NOT_COMPARED,,Optimal,,492,,59,0,1,,0.008521935,,0.017838734,,0.026360669,,,0.033024073,,,3968.0,,32903.0
scp49,NOT_COMPARED,,Optimal,,641,,61,0,1,,0.010690675,,0.095014971,,0.105705646,,,0.111383915,,,3676.0,,156430.0
scp410,NOT_COMPARED,,Optimal,,514,,64,0,1,,0.007934420,,0.000034805,,0.007969225,,,0.014631033,,,4112.0,,65.0
scp51,NOT_COMPARED,,Optimal,,253,,62,0,1,,0.024871319,,1.340079525,,1.364950844,,,1.377592087,,,4124.0,,1148872.0
scp52,NOT_COMPARED,,Optimal,,302,,58,0,1,,0.027540604,,1.165196987,,1.192737591,,,1.202373981,,,4108.0,,1112511.0
scp53,NOT_COMPARED,,Optimal,,226,,55,0,1,,0.014323140,,0.000041310,,0.014364450,,,0.019804001,,,4108.0,,56.0
scp54,NOT_COMPARED,,Optimal,,242,,66,0,1,,0.019108205,,0.017541114,,0.036649319,,,0.042571068,,,4208.0,,27450.0
scp55,NOT_COMPARED,,Optimal,,211,,60,0,1,,0.021400171,,0.000037246,,0.021437417,,,0.026275873,,,4136.0,,61.0
scp56,NOT_COMPARED,,Optimal,,213,,58,0,1,,0.017212219,,0.000044692,,0.017256911,,,0.022116184,,,4172.0,,59.0
scp57,NOT_COMPARED,,Optimal,,293,,64,0,1,,0.022529674,,0.006268833,,0.028798507,,,0.037713051,,,3988.0,,7826.0
scp58,NOT_COMPARED,,Optimal,,288,,61,0,1,,0.018828558,,0.086941059,,0.105769617,,,0.110984087,,,4256.0,,103301.0
scp59,NOT_COMPARED,,Optimal,,279,,57,0,1,,0.027758849,,0.000059905,,0.027818754,,,0.033997059,,,4252.0,,58.0
scp510,NOT_COMPARED,,Optimal,,265,,64,0,1,,0.016457143,,0.000070366,,0.016527509,,,0.023280859,,,4048.0,,65.0
scp61,NOT_COMPARED,,Optimal,,138,,34,0,1,,0.015923769,,1.570219082,,1.586142851,,,1.592814922,,,4256.0,,1340916.0
scp62,NOT_COMPARED,,Optimal,,146,,36,0,1,,0.013524173,,4.909251923,,4.922776096,,,4.927925110,,,4252.0,,2898670.0
scp63,NOT_COMPARED,,Optimal,,145,,35,0,1,,0.014500809,,0.349087938,,0.363588747,,,0.368273020,,,4148.0,,180316.0
scp64,NOT_COMPARED,,Optimal,,131,,38,0,1,,0.030228775,,0.045268946,,0.075497721,,,0.081377029,,,4148.0,,19852.0
scp65,NOT_COMPARED,,Optimal,,161,,36,0,1,,0.016379366,,10.428661253,,10.445040619,,,10.452188969,,,4252.0,,3659497.0
scpe1,NOT_COMPARED,,Optimal,,5,,5,0,1,,0.006173247,,0.037180685,,0.043353932,,,0.048965931,,,4000.0,,2068.0
scpe2,NOT_COMPARED,,Optimal,,5,,5,0,1,,0.006807078,,0.098956329,,0.105763407,,,0.111593008,,,3792.0,,5291.0
scpe3,NOT_COMPARED,,Optimal,,5,,5,0,1,,0.005606303,,0.095804058,,0.101410361,,,0.107469082,,,3988.0,,5492.0
scpe4,NOT_COMPARED,,Optimal,,5,,5,0,1,,0.004997888,,0.067316073,,0.072313961,,,0.078536987,,,4028.0,,3674.0
scpe5,NOT_COMPARED,,Optimal,,5,,5,0,1,,0.004158085,,0.075270287,,0.079428372,,,0.084132910,,,3676.0,,3875.0
