instance,repetition,position,solver,exit_code,status,cost,sets,preparation_wall_s,core_wall_s,total_after_read_wall_s,preparation_cpu_s,core_cpu_s,total_after_read_cpu_s,process_wall_s,process_user_s,process_system_s,max_rss_kb,nodes,best_bound,gap_percent,solution_valid,log_file
"scpa1","1","1","cplex","0","Optimal","253","67","0.005188935","0.941667100","0.946856035","0.005190000","0.941386000","0.946576000","0.954177141","0.93","0.02","29332","34","253","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa1_rep01_pos1_cplex.log"
"scpa1","1","2","dlx","0","Optimal","253","67","0.439454546","482.817791329","483.257245875","0.439326000","482.746103000","483.185429000","483.264469147","483.16","0.02","4788","586123996","246.2909","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa1_rep01_pos2_dlx_v2.log"
"scpa2","1","1","dlx","0","Optimal","252","70","0.265623170","69.539403651","69.805026821","0.265623000","69.530224000","69.795847000","69.811670780","69.80","0.00","4672","99682562","247.3308","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa2_rep01_pos1_dlx_v2.log"
"scpa2","1","2","cplex","0","Optimal","252","68","0.004435674","0.547738255","0.552173929","0.004435000","0.547645000","0.552080000","0.562161922","0.55","0.00","29484","32","252","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa2_rep01_pos2_cplex.log"
"scpa3","1","1","cplex","0","Optimal","232","72","0.004619037","0.698917018","0.703536055","0.004620000","0.698840000","0.703460000","0.711772919","0.70","0.00","29508","36","232","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa3_rep01_pos1_cplex.log"
"scpa3","1","2","dlx","0","Optimal","232","72","0.327224021","38.559099721","38.886323742","0.327223000","38.554304000","38.881527000","38.892995119","38.88","0.00","4644","57445267","227.8668","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa3_rep01_pos2_dlx_v2.log"
"scpa4","1","1","dlx","0","Optimal","234","67","0.334277877","0.081907930","0.416185807","0.334266000","0.081852000","0.416118000","0.422003984","0.41","0.00","4620","120625","230.8975","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa4_rep01_pos1_dlx_v2.log"
"scpa4","1","2","cplex","0","Optimal","234","69","0.003673918","0.129877868","0.133551786","0.003675000","0.129880000","0.133555000","0.140696049","0.13","0.00","28604","0","234","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa4_rep01_pos2_cplex.log"
"scpa5","1","1","cplex","0","Optimal","236","72","0.003260438","0.067967538","0.071227976","0.003241000","0.067955000","0.071196000","0.078177929","0.07","0.00","28064","0","236","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa5_rep01_pos1_cplex.log"
"scpa5","1","2","dlx","0","Optimal","236","72","0.275181448","0.013243284","0.288424732","0.275165000","0.013246000","0.288411000","0.294114828","0.29","0.00","4780","21579","234.5383","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260824_211853_17578/logs/scpa5_rep01_pos2_dlx_v2.log"
