instance,cost_agreement,cplex_status,dlx_status,cplex_cost,dlx_cost,cplex_sets,dlx_sets,cplex_runs,dlx_runs,cplex_prep_median_s,dlx_prep_median_s,cplex_core_median_s,dlx_core_median_s,cplex_total_after_read_median_s,dlx_total_after_read_median_s,dlx_speedup_total_x,cplex_process_median_s,dlx_process_median_s,dlx_speedup_process_x,cplex_max_rss_median_kb,dlx_max_rss_median_kb,cplex_nodes_median,dlx_nodes_median
scpa1,MATCH_OPTIMAL,Optimal,Optimal,253,253,67,67,1,1,0.005188935,0.439454546,0.941667100,482.817791329,0.946856035,483.257245875,0.002,0.954177141,483.264469147,0.002,29332.0,4788.0,34.0,586123996.0
scpa2,MATCH_OPTIMAL,Optimal,Optimal,252,252,68,70,1,1,0.004435674,0.265623170,0.547738255,69.539403651,0.552173929,69.805026821,0.008,0.562161922,69.811670780,0.008,29484.0,4672.0,32.0,99682562.0
scpa3,MATCH_OPTIMAL,Optimal,Optimal,232,232,72,72,1,1,0.004619037,0.327224021,0.698917018,38.559099721,0.703536055,38.886323742,0.018,0.711772919,38.892995119,0.018,29508.0,4644.0,36.0,57445267.0
scpa4,MATCH_OPTIMAL,Optimal,Optimal,234,234,69,67,1,1,0.003673918,0.334277877,0.129877868,0.081907930,0.133551786,0.416185807,0.321,0.140696049,0.422003984,0.333,28604.0,4620.0,0.0,120625.0
scpa5,MATCH_OPTIMAL,Optimal,Optimal,236,236,72,72,1,1,0.003260438,0.275181448,0.067967538,0.013243284,0.071227976,0.288424732,0.247,0.078177929,0.294114828,0.266,28064.0,4780.0,0.0,21579.0
scpb2,MATCH_INCUMBENT,Optimal,TimeLimit,76,76,39,41,1,1,0.005461814,0.180817668,0.707679274,900.000511004,0.713141088,900.181328672,0.001,0.724540949,900.189477205,0.001,33064.0,5660.0,435.0,308340736.0
scpb3,MATCH_OPTIMAL,Optimal,Optimal,80,80,40,38,1,1,0.005435212,0.175668113,0.556370885,142.152176973,0.561806097,142.327845086,0.004,0.571416140,142.338455915,0.004,32456.0,5680.0,187.0,55362438.0
scpb4,MATCH_INCUMBENT,Optimal,TimeLimit,79,79,39,41,1,1,0.010705834,0.272263782,1.199517999,900.001736413,1.210223833,900.274000195,0.001,1.222368956,900.287057161,0.001,33744.0,5688.0,616.0,280335360.0
scpb5,MATCH_OPTIMAL,Optimal,Optimal,72,72,40,39,1,1,0.004970100,0.212192827,0.889888640,18.983534073,0.894858740,19.195726900,0.047,0.903075933,19.203541994,0.047,33208.0,5800.0,83.0,8441907.0
scpb.1,MATCH_OPTIMAL,Optimal,Optimal,69,69,37,39,1,1,0.007406819,0.302686998,0.902739305,11.897768159,0.910146124,12.200455157,0.075,0.923192024,12.212157011,0.076,32660.0,5748.0,47.0,4780134.0
